%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq,field.transforms0.fiducial_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms0.image_error,field.transforms0.object_error,field.transforms0.fiducial_area
1682302783560986042,0,1682302783560986042,camera_2,1,0,-1.238966702415763,0.31508759827889,1.7468134897550192,0.9569804608474483,-0.0026866235472783745,0.28147028800114426,-0.07039642450205631,0.2983390570152551,0.04178265915374769,12989.924145479219
1682302783570852279,1,1682302783570852279,camera_2,2,0,-1.238182038075961,0.3142792447201069,1.7457066690032998,0.9567699960203861,-0.002555662147215943,0.28225555649177486,-0.07011735973108295,0.2918617681716569,0.040828097254279154,12994.30002207868
1682302783580765724,2,1682302783580765724,camera_2,3,0,-1.2388001160898865,0.31334118813973866,1.7466002781032264,0.9569036212519714,-0.002480970330424722,0.28190576457250954,-0.06970254171744292,0.28963577235117555,0.040514299542815164,12992.82866525277
1682302783590531110,3,1682302783590531110,camera_2,4,0,-1.2389323425059204,0.31203978485747386,1.746793945212394,0.9569193264713574,-0.0025568305355426367,0.28178594253154315,-0.06996819159322627,0.2789383726194501,0.039012746532470687,12994.58860694733
1682302783600784301,4,1682302783600784301,camera_2,5,0,-1.2383783260768046,0.31063292474461707,1.7460143554105954,0.9568865067695257,-0.0026290105617916633,0.28183702401929306,-0.07020821431875952,0.2924881625222042,0.040862579823591684,13007.498914755415
1682302783611744403,5,1682302783611744403,camera_2,6,0,-1.2371333757055407,0.30949507178076224,1.7442520825955459,0.9567041239953339,-0.0027668269334907613,0.2823899132752919,-0.07046630882495475,0.3175871706334874,0.04429681519567309,13024.051941141017
1682302783622620582,6,1682302783622620582,camera_2,7,0,-1.2383135051454006,0.3095832810044112,1.7459271801954834,0.956969181076288,-0.002891834392644399,0.2813902790434665,-0.07085996488754463,0.32556269416818395,0.04547407440023359,13017.091002146477
1682302783630824804,7,1682302783630824804,camera_2,8,0,-1.2378482942729188,0.3099282893123142,1.7452867139954853,0.9568099456945253,-0.0026584869587647666,0.28210063011742165,-0.07019184250668678,0.31962672679219395,0.04461575393850208,13015.088608007185
1682302783641285181,8,1682302783641285181,camera_2,9,0,-1.2384415508363738,0.31108191171198235,1.7460883659617097,0.9569004078534573,-0.002726108130512569,0.2817290256827296,-0.07044809346041807,0.2940483685815707,0.041097256238699136,13006.049254463524
1682302783650528192,9,1682302783650528192,camera_2,10,0,-1.238411039511702,0.31242888918360334,1.7460618084135962,0.9568512844286359,-0.0026674149397609343,0.2819391365860585,-0.07027679308218829,0.27682696358533576,0.038708622197406665,12999.715286037652
1682302783660853385,10,1682302783660853385,camera_2,11,0,-1.2386084552551866,0.3137528275369914,1.746326659864612,0.9568577657488947,-0.002666557979435539,0.28194225923962674,-0.07017597914835919,0.291359469643794,0.04076958643377695,12992.715236831687
1682302783670964956,11,1682302783670964956,camera_2,12,0,-1.2381486249546654,0.3145756808660281,1.7456804015012433,0.9567911882986564,-0.0024513669745084427,0.2822106986999799,-0.07001238699880673,0.30057598144048825,0.04204390505785034,12995.426663213648
1682302783680893421,12,1682302783680893421,camera_2,13,0,-1.2391057536415535,0.31519565019656276,1.7470278928567111,0.9569612752206185,-0.0027160018626403723,0.28152677987116453,-0.070430201457775,0.2669388256035745,0.037397575817692846,12985.412570080023
