%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq,field.transforms0.fiducial_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms0.image_error,field.transforms0.object_error,field.transforms0.fiducial_area
1684316615374599695,0,1684316615374599695,camera_1,1,0,-0.8774536743838703,-1.252748034427514,8.195488111998854,0.9961115977691686,0.007921039126392793,0.06730537349139444,0.05629323785408279,0.11751321557767368,0.11541837061191293,3579.9199625581687
1684316615394396066,1,1684316615394396066,camera_1,3,0,-0.8905114604402153,-1.2701303953725684,8.316711239374861,0.9994770039637978,0.008698629079473885,0.028301534325050753,0.013002905618986352,0.2900419670950214,0.2890688475271914,3580.4125503256932
1684316615427795886,2,1684316615427795886,camera_1,5,0,-0.8772535821001455,-1.2465302492909198,8.190227000960876,0.9950564189690879,0.011967740911670908,-0.04606505943302822,-0.0871636767542417,0.091610064847373,0.0898012647451456,3587.758457998016
1684316615454450607,3,1684316615454450607,camera_1,7,0,-0.8918841739077739,-1.2623240247711354,8.324036216222249,0.9986089235051635,0.00987537758625026,-0.00585497969303805,-0.05146274405996903,0.33341466030469746,0.3321619291147004,3581.2316449272475
1684316615461164951,4,1684316615461164951,camera_1,8,0,-0.8785403080269566,-1.2383080929280839,8.196237141565593,0.994644720908346,0.01196813942406193,-0.04809457859699565,-0.09069484173569324,0.100697627091904,0.09879238178748974,3580.0605742417965
1684316615481264829,5,1684316615481264829,camera_1,10,0,-0.8914312508577459,-1.2536212218453282,8.314527127242046,0.9988563460411563,0.009701038830042126,-0.0026042296049424538,-0.046745136721296,0.3138571788331319,0.31202089603414057,3591.289301257945
1684316615501321792,6,1684316615501321792,camera_1,12,0,-0.8927496909984616,-1.2488914195574754,8.322786082081189,0.9991296387785565,0.01015980399519944,-0.016756494452038546,-0.03682340547381923,0.31798616455489537,0.3167223846879275,3584.4971897763007
1684316615521660566,7,1684316615521660566,camera_1,14,0,-0.8926983220443877,-1.2417182124346935,8.317035285107398,0.9977925151712764,0.010504070189252725,-0.0024138651800359287,-0.06552811940327706,0.3180506829849037,0.3166951460903385,3579.6093821465615
1684316615541862964,8,1684316615541862964,camera_1,16,0,-0.8807826590633534,-1.2172998086319184,8.20093002582994,0.9944664823525703,0.011229230794885374,-0.04348567529867301,-0.09497007895584109,0.09352518336163484,0.09174446545406104,3582.504796209482
1684316615555003166,9,1684316615555003166,camera_1,18,0,-0.8814711073257331,-1.2142875250041687,8.204978159016887,0.9950255141094451,0.010698237058392955,-0.04529558291295194,-0.08807998730502188,0.09957299834422884,0.0977141691125587,3586.2338260164533
1684316615581731319,10,1684316615581731319,camera_1,20,0,-0.8823436864956696,-1.2031304271125633,8.204621901392462,0.9950486336658679,0.011261134277442318,-0.044387129683364404,-0.08821103226324373,0.07440780424076365,0.07295144241438248,3590.993517748546
1684316615601995706,11,1684316615601995706,camera_1,22,0,-0.8835876708967014,-1.1983640729871494,8.211745176031798,0.9957095323040122,0.010716837381660103,-0.04677517254272973,-0.07911864450973904,0.060369703442120226,0.05924945334809674,3593.8045855874366
1684316615629719734,12,1684316615629719734,camera_1,24,0,-0.8844135458536624,-1.1866936336820104,8.212105692937184,0.9953337351073863,0.01120264686992552,-0.04475730972196488,-0.08474691549985325,0.09144121487406665,0.08968436972107717,3593.773743255995
1684316615654850721,13,1684316615654850721,camera_1,26,0,-0.8852452012184053,-1.1772277457337788,8.212135467446748,0.9950939735270373,0.010482970271540494,-0.038852586676907074,-0.0903801288612249,0.06774788230541162,0.06642791814861193,3595.7529696007255
1684316615681819438,14,1684316615681819438,camera_1,28,0,-0.8871977993982644,-1.1681530341018087,8.222017671407642,0.9954904126114972,0.011018158496253394,-0.0502454051182372,-0.07970469149583963,0.07432490221981425,0.07293460378080865,3592.193899547681
1684316615708415985,15,1684316615708415985,camera_1,30,0,-0.8877261167310222,-1.1598368727986843,8.222131594115885,0.9955523350205491,0.009957242767440106,-0.044289659337393074,-0.08255196925198546,0.09580126279615797,0.09397240351806599,3597.3631114698956
1684316615734946727,16,1684316615734946727,camera_1,32,0,-0.8869409846457397,-1.1508718434843503,8.20936368589251,0.9951313910686826,0.011212419784682513,-0.046420494394248835,-0.08621446428804284,0.06418249134731013,0.06272637462418182,3605.270222800318
1684316615761376619,17,1684316615761376619,camera_1,34,0,-0.8889481833272693,-1.1466086617924447,8.223489691651364,0.9961278376357079,0.010643820183859795,-0.049380953423922104,-0.0719552751231418,0.056797564393491484,0.05565602970867262,3606.3015127546387
1684316615788585662,18,1684316615788585662,camera_1,36,0,-0.8893019568366837,-1.1406884563255946,8.222579154756229,0.9957040338551082,0.01072972391584133,-0.04361473623820093,-0.08096977690612357,0.06250146945239976,0.06121797811654131,3605.5525178555417
