%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq,field.transforms0.fiducial_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms0.image_error,field.transforms0.object_error,field.transforms0.fiducial_area
1684732762230310678,0,1684732762230310678,camera_2,1,0,0.5597881998377823,-0.16052818819303255,1.4180921497871173,-0.9793882541615456,0.02947656074266243,0.19340045416257104,-0.05025976827339355,0.008153175993356854,0.004295439395340031,7055.788662699984
1684732762240188598,1,1684732762240188598,camera_2,2,0,0.5599823353929393,-0.160373832664146,1.4185829255799915,-0.9793674090258012,0.03009547718212797,0.19298864503906676,-0.05185675729597931,0.009319439879618585,0.004916209311177203,7050.984917437658
1684732762250094652,2,1684732762250094652,camera_2,3,0,0.5597463951336429,-0.16022253434946432,1.4179797558520346,-0.9793586624878055,0.029891183534547467,0.19307449185979675,-0.05182053598798426,0.006479295727331191,0.003415044227652703,7056.567370330913
1684732762259884357,3,1684732762259884357,camera_2,4,0,0.5597515431327204,-0.16025005060881833,1.4180097318414167,-0.9792685216314355,0.030112948865696494,0.19347504607857624,-0.05190163193279717,0.006546208867803216,0.0034513596527422498,7053.867907404903
1684732762269913911,4,1684732762269913911,camera_2,5,0,0.5598575905736359,-0.16067400255277323,1.418366053889481,-0.9794967923463067,0.030131413356359524,0.19274060975746335,-0.0502910435640964,0.010013496386818588,0.005276151129448327,7056.867476599062
1684732762280000448,5,1684732762280000448,camera_2,6,0,0.5602177745471763,-0.16111950901229313,1.419330050946567,-0.9796809694024637,0.029807947030864944,0.192065114350649,-0.04947399654289425,0.009186943818349391,0.0048436930235647,7052.24419440469
1684732762289819717,6,1684732762289819717,camera_2,7,0,0.5599724338028143,-0.16143642665251748,1.4187674146990619,-0.9796820403418346,0.030070975791030536,0.19169957203843543,-0.050696255551235234,0.006539723020978272,0.003446892306626474,7058.034450983392
1684732762299986600,7,1684732762299986600,camera_2,8,0,0.5601416351832493,-0.1618942508057509,1.4192351464749184,-0.9797353147380884,0.03019816146864284,0.19099460694912765,-0.05222876808159346,0.00845044624293223,0.0044590162784136,7054.92251518555
1684732762310042381,8,1684732762310042381,camera_2,9,0,0.5600444979560827,-0.16257295103342503,1.419041462058408,-0.9797508818322024,0.02975178817649919,0.19160194423165422,-0.04991728774655893,0.007525136577896774,0.003966652570105431,7056.56844792026
1684732762319857358,9,1684732762319857358,camera_2,10,0,0.5600129049000239,-0.16281559635291382,1.4189587231942915,-0.9796627122434634,0.02995580098969122,0.19181368636742402,-0.05070631074123406,0.007168785959947854,0.003780461774519757,7054.8769171624435
1684732762329830169,10,1684732762329830169,camera_2,11,0,0.5598709427498693,-0.16291975425501573,1.4186056298934862,-0.9796083092735861,0.03019845713085817,0.1917414368437551,-0.05187325887347117,0.010798311908729374,0.005695027720687569,7056.960639986208
1684732762339811325,11,1684732762339811325,camera_2,12,0,0.5597623725832609,-0.16291348787899584,1.4183128065840478,-0.9794803315007294,0.03002417595636876,0.19253403543984746,-0.05145361268764132,0.006405824620742351,0.0033776494956408503,7055.964690771184
1684732762350006341,12,1684732762350006341,camera_2,13,0,0.5598833420841414,-0.16265630170858575,1.418562188116822,-0.9795921179684118,0.029806187764173694,0.1920702760964905,-0.05118478900362761,0.006735620845574886,0.003551290497800563,7056.624936064943
1684732762359965324,13,1684732762359965324,camera_2,14,0,0.5599951609238746,-0.16238996684593598,1.4188077047128185,-0.9794729840986858,0.030027430301805307,0.19231313940019454,-0.05240880903366609,0.007968307530973107,0.004205646349059503,7051.062810656151
1684732762369900703,14,1684732762369900703,camera_2,15,0,0.5601653955378605,-0.16207756131497472,1.419181669386786,-0.9796171881238951,0.02959876494598832,0.19184094821978953,-0.051682960751464335,0.006825839867815375,0.0036020977275440127,7051.251310290534
1684732762379811286,15,1684732762379811286,camera_2,16,0,0.5600041340272917,-0.16161518791840032,1.4187190467144577,-0.9794468753111393,0.029482561929940435,0.1930598287280776,-0.050423204150253885,0.00949784048134461,0.0050085723438778335,7050.923127678693
1684732762389935016,16,1684732762389935016,camera_2,17,0,0.5599724745120024,-0.16084748889574305,1.4185798603940534,-0.9795319631287462,0.029829158175669678,0.19233029270730165,-0.05134601288122549,0.008195032190997154,0.00432070128208668,7055.365038194694
1684732762399911642,17,1684732762399911642,camera_2,18,0,0.559858685266249,-0.16051637002192476,1.41827770776188,-0.979449238087572,0.02939530761723561,0.1932092072856413,-0.04985286471023516,0.006694622163195163,0.003526822782603025,7055.650381678944
1684732762409878969,18,1684732762409878969,camera_2,19,0,0.5598989253704014,-0.1603284477315831,1.4183618340238016,-0.9793761149305877,0.030062945095377065,0.19291572409067295,-0.05198238388369594,0.010205049358773977,0.005381846809039489,7053.401682225289
1684732762419902801,19,1684732762419902801,camera_2,20,0,0.5598736298860717,-0.16025144302464067,1.4183036449893276,-0.9795280523845804,0.029858111891655558,0.19237015191772427,-0.051254389051942434,0.005246079294010997,0.0027645223575096306,7058.213389023439
1684732762430180549,20,1684732762430180549,camera_2,21,0,0.5601024375212061,-0.16052113975889773,1.418945694830115,-0.9795824717482676,0.029603994896991784,0.19234267118460172,-0.050458709567978585,0.0127516615903005,0.006723205278612066,7053.1670572313005
