%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq,field.transforms0.fiducial_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms0.image_error,field.transforms0.object_error,field.transforms0.fiducial_area
1684938610847362518,12,1684938610847362518,camera_2,13,0,0.224219799585903,-0.0525334057561834,0.46805244407226465,0.9728611087646609,-0.0017484241930040014,-0.22391705185713942,0.05830403033790362,0.4672237699851394,0.0395243708184525,31788.308576997835
1684938610857540130,13,1684938610857540130,camera_2,14,0,0.2241713231031027,-0.05253226401995323,0.467935446235733,0.9726792450828118,-0.0016620416467942793,-0.22476498458139604,0.05807775399256006,0.43964635545853525,0.03718635374560736,31778.698680155674
1684938610867386579,14,1684938610867386579,camera_2,15,0,0.22421313282087138,-0.05225942380460325,0.4680155904644358,0.9726714930627772,-0.001684911787749902,-0.22484087704393957,0.05791293176318564,0.47000425693113357,0.03975655937929953,31771.559020883626
1684938610877333164,15,1684938610877333164,camera_2,16,0,0.22430152033947287,-0.05187507141807658,0.46818157406236977,0.972702367834569,-0.001740538293885107,-0.22466100735150252,0.05809049759881934,0.4662333084270358,0.03945381549373985,31759.767014752146
1684938610887378692,16,1684938610887378692,camera_2,17,0,0.2243460005505938,-0.050951944605526316,0.46822084539174946,0.9727043710840688,-0.0020062350557942385,-0.22434940078230028,0.059241268246637446,0.43279895710293204,0.03662331114879929,31768.990875381976
1684938610897627592,17,1684938610897627592,camera_2,18,0,0.2243151134426637,-0.050339204401120025,0.46812982325911573,0.9726365237097874,-0.002082847945003648,-0.22454596127014978,0.05960675941067968,0.4835990267456509,0.04090162644590922,31780.856609633887
1684938610907431125,18,1684938610907431125,camera_2,19,0,0.22429391010855798,-0.050283617861044044,0.4680989433705664,0.9726930993111665,-0.0019912935444783286,-0.2242077985249091,0.05995858890159577,0.5385709310066886,0.045543444395618554,31794.322335889796
1684938610917550802,19,1684938610917550802,camera_2,20,0,0.22432442895455104,-0.05042266853730115,0.4681672253881764,0.9726550845061888,-0.0019282473134310698,-0.22443734247478406,0.05971806886875621,0.47177934681531053,0.039909719512775096,31777.801358198973
1684938610927434682,20,1684938610927434682,camera_2,21,0,0.2242416481071547,-0.05070276946453087,0.46802204021194127,0.972494698712878,-0.0020364243521751187,-0.22517285349637062,0.059557535203436034,0.48845877463463694,0.0413170160964093,31772.18844919186
1684938610937491416,21,1684938610937491416,camera_2,22,0,0.22431526717631395,-0.05112870343303376,0.46819961115307757,0.9726460469187836,-0.0019049289519595357,-0.22457192968046172,0.05935896780222086,0.48500741249881685,0.04104951460273289,31762.81733217252
