%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq,field.transforms0.fiducial_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms0.image_error,field.transforms0.object_error,field.transforms0.fiducial_area
1682303029891155242,0,1682303029891155242,camera_1,1,0,0.663870235603453,0.4846900711931209,1.8124205234642865,-0.9800967584168866,-0.044592349318159384,0.15687508466321523,0.11319043393727078,0.18944649602053687,0.017792810828599227,20562.812332436333
1682303029900994777,1,1682303029900994777,camera_1,2,0,0.6637312724372761,0.48528586882166647,1.8120788236380965,-0.980039268222865,-0.04449009570449115,0.15687783135011726,0.11372339317959641,0.20829301967751235,0.019557230803328413,20560.116635524326
1682303029911359310,2,1682303029911359310,camera_1,3,0,0.6640348810058262,0.4864835017187853,1.813004505079164,-0.9801229584999221,-0.044483939500013135,0.15637247601483978,0.11370054570189035,0.20103213808033615,0.018896857407364992,20541.064623862614
1682303029921734809,3,1682303029921734809,camera_1,4,0,0.6640182578800278,0.48732736738350696,1.81301783746644,-0.9801380374644598,-0.044486377785621325,0.15579103593939833,0.11436582893400207,0.20965470996452495,0.01970857285881858,20537.0319427622
1682303029931820869,4,1682303029931820869,camera_1,5,0,0.6639021952236956,0.4875965997978754,1.8126606804170775,-0.9801002561743695,-0.04443319918458141,0.15666793224316392,0.11350919638430165,0.23256488738115877,0.021858895201116432,20537.44705864787
1682303029941804885,5,1682303029941804885,camera_1,6,0,0.6637801558374539,0.4873529571335328,1.8123233760702038,-0.9800522524726348,-0.044468326865796715,0.15684898192535704,0.1136597870755115,0.21752051881048828,0.020436463125355412,20541.775670737137
1682303029951254129,6,1682303029951254129,camera_1,7,0,0.6637536437806183,0.4866700743587354,1.8122261781043159,-0.9800174261533955,-0.04456508168405838,0.1568825118566154,0.11387570155097247,0.20202398614492267,0.01897565445079106,20545.865718833164
1682303029961527585,7,1682303029961527585,camera_1,8,0,0.6639890248958117,0.48590956851900574,1.81281428417057,-0.9801065321067237,-0.04435645628844774,0.15659916246876815,0.11357989620237849,0.21860830223886296,0.02054391120494872,20546.478606249788
1682303029971612215,8,1682303029971612215,camera_1,9,0,0.6640694631433413,0.485103302416549,1.8129700084925744,-0.9801609971844513,-0.04448457969235769,0.15621521537332062,0.11358850405672004,0.22262318903813139,0.020921205917509487,20554.58528790821
1682303029981243610,9,1682303029981243610,camera_1,10,0,0.6638065239301818,0.4845104206472565,1.812281094583109,-0.9800881363711853,-0.044703365421457954,0.1562743030746403,0.11404909584467497,0.21067307994235307,0.019780602090786404,20567.430299157866
1682303029991335868,10,1682303029991335868,camera_1,11,0,0.6638008573629864,0.4846464247112,1.8122687791225796,-0.9800878033224352,-0.04450809161715126,0.15673688286928447,0.11349218963269246,0.20033169019734487,0.01881145885373945,20565.36182604288
1682303030001296281,11,1682303030001296281,camera_1,12,0,0.6638000840404268,0.48532765957659724,1.8122550715176593,-0.9800838376546485,-0.044692876223765866,0.1565078348653004,0.11376957242057163,0.20643794594798237,0.019386031325795944,20561.428517522872
1682303030011236667,12,1682303030011236667,camera_1,13,0,0.664077208227586,0.48649626973415827,1.8130912337504843,-0.9801536265796823,-0.044500002162236686,0.15595416299401837,0.11400402253908835,0.1890736361965537,0.01777330193848052,20542.42584033451
1682303030021311044,13,1682303030021311044,camera_1,14,0,0.6638639610957636,0.48717810172931775,1.8125201188254367,-0.9801241595463861,-0.04444307187345729,0.15627198973891512,0.11384423770653254,0.20014001056551933,0.018805499562142163,20546.035925131517
1682303030031249046,14,1682303030031249046,camera_1,15,0,0.6636747924673172,0.48741020150877906,1.8120034008064276,-0.9800858704971454,-0.04451586654956696,0.15637149052184973,0.11400868839333721,0.2195548702729866,0.020619583279166215,20551.609732560588
1682303030041247129,15,1682303030041247129,camera_1,16,0,0.6638881803981368,0.4874471294099492,1.8126268014827538,-0.9801060535483029,-0.04456654403586852,0.15649716502713473,0.11364235253258337,0.21541151229757816,0.02024447052544056,20540.58825668321
1682303030051208972,16,1682303030051208972,camera_1,17,0,0.6636728338339792,0.48662340880192145,1.8120449529248923,-0.9800325777966717,-0.04453546343588828,0.15697400664035613,0.11363054251843828,0.2121872623101808,0.019926905725610955,20551.267843166483
1682303030061211347,17,1682303030061211347,camera_1,18,0,0.664007042895111,0.48593123387099935,1.8129221323105251,-0.9801761624941525,-0.04444592638773358,0.15594293469008552,0.11384661271208987,0.20250516495434567,0.019030953325152086,20551.890263228444
1682303030071450710,18,1682303030071450710,camera_1,19,0,0.6639510295246059,0.48503455530406,1.812706676806427,-0.9801399918521497,-0.044464120242848466,0.1565443892348631,0.11332428063826923,0.20828875625738874,0.019568931577845675,20558.527931758203
1682303030081136226,19,1682303030081136226,camera_1,20,0,0.6638447902817871,0.484529629873972,1.8123912539770535,-0.9800628681101778,-0.04466719881444403,0.1566468038581074,0.11376904123162336,0.20459489693166688,0.01921314584696133,20562.16944434749
1682303030091282606,20,1682303030091282606,camera_1,21,0,0.6638535547732174,0.48469066234576447,1.8124272147052656,-0.9801442902810481,-0.04463650206794884,0.156508272203082,0.11326920872242502,0.19566944136749953,0.018376682928852476,20567.806504832464
1682303030101227521,21,1682303030101227521,camera_1,22,0,0.6637845784761132,0.48531286338463386,1.812191241412973,-0.9800722214404126,-0.044566910645585434,0.15635852529618224,0.1141238047191144,0.22859291464556009,0.021464626752522156,20561.307715269966
1682303030111376285,22,1682303030111376285,camera_1,23,0,0.6639573300147683,0.48642185543883737,1.8127857247792922,-0.9801195896669457,-0.04442228553064029,0.15610174108867972,0.11412491808722243,0.20498474716441706,0.01926272880382701,20545.7593077427
1682303030121285200,23,1682303030121285200,camera_1,24,0,0.6639396381511906,0.4872481789479513,1.8127635317226083,-0.9801475861928797,-0.04435295140598726,0.15605528606015284,0.11397487738327966,0.19445758231449872,0.01827586943011522,20542.691561817886
1682303030131223917,24,1682303030131223917,camera_1,25,0,0.663928994736246,0.48760725470595595,1.8127148744888864,-0.9801409301501796,-0.04451885217658923,0.15625688173583882,0.1136908780659728,0.22378316102549434,0.02103360782374123,20540.70286766976
1682303030141324281,25,1682303030141324281,camera_1,26,0,0.6637419468448589,0.48732395116933513,1.8122074408116016,-0.9800602886764307,-0.044482617575881386,0.1566308407090026,0.11388549965584044,0.22374778980156407,0.021018189827476035,20545.353833966547
1682303030151193857,26,1682303030151193857,camera_1,27,0,0.6637992827302346,0.486708472779096,1.8123429110792417,-0.979996598648759,-0.044567981605809645,0.15696031519557038,0.11394657127862462,0.2200676673091948,0.02067348774262783,20541.06951068319
1682303030161364316,27,1682303030161364316,camera_1,28,0,0.6639480613706404,0.4858865676704013,1.8127361166797624,-0.9800751296592775,-0.044444694991062454,0.15653490815321353,0.11390448560073044,0.2154616416664794,0.020245614417513793,20545.958278822945
1682303030171265363,28,1682303030171265363,camera_1,29,0,0.6639632107278042,0.4850189200649179,1.8127062966944347,-0.9801229146788225,-0.04452930043448595,0.1565050427670268,0.11350059520899482,0.21001375128980726,0.019730748093797913,20557.181729452677
1682303030181242942,29,1682303030181242942,camera_1,30,0,0.6638606515510288,0.48454177253181907,1.8124750881849783,-0.9800900779554761,-0.04469677776450292,0.15667205090576244,0.11348790955728148,0.16978269180981442,0.01594530738657856,20563.216807981957
1682303030191210269,30,1682303030191210269,camera_1,31,0,0.6639746993878968,0.48478442759553975,1.8127274744133208,-0.9801640185224909,-0.04460999782412327,0.15647243589167673,0.11315839206218435,0.19127417902927846,0.017970039213884726,20562.524370540872
1682303030201278686,31,1682303030201278686,camera_1,32,0,0.6637508195337989,0.48529606700467787,1.8121172603615454,-0.9800077154231545,-0.04454510920355832,0.15746562573034356,0.1131600091484792,0.21215146535541862,0.019922357718500608,20555.82415594405
1682303030211303234,32,1682303030211303234,camera_1,33,0,0.6639129053526892,0.4863699945315807,1.8126145192770315,-0.9800592560499093,-0.04457540590761312,0.15610893279820992,0.11457263599862726,0.21529617375927046,0.020227363099663245,20544.487899166765
1682303030221174001,33,1682303030221174001,camera_1,34,0,0.6640118873906805,0.4873142228441587,1.8129902491315772,-0.9801428705167664,-0.044356880592388064,0.1561280762482471,0.11391419721126825,0.20971376408124343,0.019714913941291778,20537.172420918596
1682303030231467485,34,1682303030231467485,camera_1,35,0,0.6639018893364868,0.4876184483321361,1.8126536049416753,-0.9801572006131556,-0.0444127162349674,0.1558099628414931,0.11420432654740874,0.23183113196864727,0.02178711643186339,20543.505132763763
1682303030241377592,35,1682303030241377592,camera_1,36,0,0.6637104854352769,0.48730460005261633,1.8121482293938924,-0.980020826016857,-0.04442695205384251,0.1569466245751292,0.11381205357481379,0.22838528186548504,0.021453094129440072,20542.642910990173
1682303030251212835,36,1682303030251212835,camera_1,37,0,0.6637344683807846,0.48667712949282704,1.8122036270176554,-0.9799691049763016,-0.04456122240886738,0.1570843234209229,0.11401476257382062,0.214200864196755,0.020119058712788598,20541.75477573602
1682303030261248588,37,1682303030261248588,camera_1,38,0,0.6641680008083894,0.4860365661807743,1.813323311282913,-0.9801558126818021,-0.044638081395709475,0.15612006933565506,0.11370377524962216,0.19920229964191094,0.018729300134289098,20541.352734339896
